node_id	species	protocol	label	split	seed	baseline_pred_label	esm2_pred_label	baseline_pred_score	esm2_pred_score	transition	transition_display
S000000001	scerevisiae	scerevisiae	1	test	1029	1	1	0.6011439561843872	0.968433439731598	TP_stable	TP_stable
S000000002	scerevisiae	scerevisiae	0	test	1029	0	0	0.2912068367004394	0.0116737717762589	TN_stable	TN_stable
S000000008	scerevisiae	scerevisiae	0	test	1029	0	0	0.2354755103588104	2.4854840376065116e-05	TN_stable	TN_stable
S000000010	scerevisiae	scerevisiae	0	test	1029	1	0	0.5231437087059021	0.2090572565793991	FP_to_TN_corrected	FP_to_TN_corrected
S000000020	scerevisiae	scerevisiae	0	test	1029	0	0	0.05542017146945	3.807475422945572e-06	TN_stable	TN_stable
S000000024	scerevisiae	scerevisiae	0	test	1029	1	0	0.6918279528617859	0.0499237924814224	FP_to_TN_corrected	FP_to_TN_corrected
S000000027	scerevisiae	scerevisiae	0	test	1029	0	1	0.1099463701248169	0.8013213276863098	TN_to_FP_regressed	TN_to_FP_regressed
S000000029	scerevisiae	scerevisiae	0	test	1029	0	0	0.2677317559719085	0.0014557628892362	TN_stable	TN_stable
S000000032	scerevisiae	scerevisiae	1	test	1029	0	1	0.3561185598373413	0.9987999200820924	FN_to_TP_rescued	FN_to_TP_rescued
S000000033	scerevisiae	scerevisiae	0	test	1029	1	1	0.8780502080917358	0.9747353196144104	FP_persistent	persistent_FP
S000000039	scerevisiae	scerevisiae	1	test	1029	0	0	0.301663875579834	0.0369315929710865	FN_persistent	persistent_FN
S000000040	scerevisiae	scerevisiae	0	test	1029	1	0	0.691693127155304	0.0285583026707172	FP_to_TN_corrected	FP_to_TN_corrected
S000000041	scerevisiae	scerevisiae	1	test	1029	1	1	0.8976009488105774	0.986398696899414	TP_stable	TP_stable
S000000044	scerevisiae	scerevisiae	0	test	1029	1	0	0.5556681156158447	0.0099451951682567	FP_to_TN_corrected	FP_to_TN_corrected
S000000046	scerevisiae	scerevisiae	0	test	1029	0	0	0.1113433390855789	0.0070423488505184	TN_stable	TN_stable
S000000058	scerevisiae	scerevisiae	0	test	1029	0	0	0.0755296573042869	0.0020440658554434	TN_stable	TN_stable
S000000063	scerevisiae	scerevisiae	0	test	1029	1	0	0.6454539895057678	0.4189946353435516	FP_to_TN_corrected	FP_to_TN_corrected
S000000067	scerevisiae	scerevisiae	0	test	1029	0	0	0.0364245399832725	1.1201007765748729e-07	TN_stable	TN_stable
