model	parameter_group	parameter_name	classical_value	frozen_value	parity_status	impact_level	recommendation	notes
General	config_source	config_path	configs/classical_baseline_benchmark.yaml	configs/frozen_protocol.yaml	inconsistent_benchmark_breaking	high	Update classical to frozen config	Classical pre-refactor used a separate legacy config.
General	random_seed	seed_handling	base_seed 1029 + run_id {0,1,2}	explicit seed_list {1029,1030,1031,1032,1033}	inconsistent_benchmark_breaking	high	Update classical to explicit seed_list	Classical had only 3 runs and different run_id labeling.
General	train_val_test_split	split_source	build_epgat_legacy_dataset with seed/test_fraction/val_fraction per run	frozen manifests from results/frozen_protocol/splits/*.tsv	inconsistent_benchmark_breaking	high	Update classical to frozen manifests	Split generation contract differed entirely.
General	class_imbalance	bce_loss	BalancedBCE	BalancedBCE	identical	low	Keep	Overlapping torch models use the same loss family.
General	output_schema	metrics_columns	auroc;auprc;mcc;f1;accuracy;specificity plus val_auroc;val_auprc;val_mcc	test_auroc;test_auprc;test_mcc;test_f1;test_accuracy plus val_auroc;val_auprc;val_mcc;val_f1;val_accuracy plus protocol metadata	inconsistent_benchmark_breaking	high	Update classical to frozen schema	Classical summary schema was not frozen-compatible.
General	evaluation_metrics	test_specificity	present	absent	different_but_acceptable	low	Document or drop	Classical reported specificity; frozen does not.
MLP	feature_setting	feature_setting	ORT;EXP;SUB;ORT_EXP;ORT_SUB;EXP_SUB;ORT_EXP_SUB	ORT_EXP_SUB	inconsistent_benchmark_breaking	high	Use frozen setting for benchmark parity	Classical was mixing feature ablation workflow with benchmark workflow.
MLP	network_architecture	hidden_dim	32	32	identical	low	Keep	
MLP	regularization	dropout	0.2	0.2	identical	low	Keep	
MLP	optimizer	learning_rate	0.001	0.001	identical	low	Keep	
MLP	optimizer	weight_decay	0.0	0.0	identical	low	Keep	
MLP	training	epochs	500	200	inconsistent_benchmark_breaking	medium	Match frozen	Classical drifted to longer training.
MLP	training	patience	20	20	identical	low	Keep	
MLP	training	early_stopping	implicit always-on via patience	explicit true	identical	low	Keep	Behavior is effectively the same.
MLP	preprocessing	include_degree	false	true	inconsistent_benchmark_breaking	high	Match frozen loader	Feature matrix changed.
MLP	preprocessing	val_fraction	0.04	0.10	inconsistent_benchmark_breaking	high	Match frozen manifests	Validation set definition changed.
RF	feature_setting	feature_setting	ORT_EXP_SUB	ORT_EXP_SUB	identical	low	Keep	
