old_path	old_role	new_path	migration_action	notes
/home/jiehuang/software/fungi/EPGAT/README.md	paper-original usage contract	/home/jiehuang/software/fungi/ProGATE_v2/docs/epgat_migration/01_epgat_repo_audit.md	document_only	Capture as historical contract, do not migrate as runtime file.
/home/jiehuang/software/fungi/EPGAT/config/default.yaml	partial runtime defaults	/home/jiehuang/software/fungi/ProGATE_v2/configs/epgat_legacy.yaml	rewrite_adapter	Translate only needed defaults into explicit YAML.
/home/jiehuang/software/fungi/EPGAT/utils/utils.py	legacy base data loader	/home/jiehuang/software/fungi/ProGATE_v2/src/data/build_epgat_legacy_dataset.py	rewrite_adapter	This is the key legacy dataset contract and must be externalized.
/home/jiehuang/software/fungi/EPGAT/runners/tools.py	legacy CLI/data bridge	/home/jiehuang/software/fungi/ProGATE_v2/src/features/epgat_legacy_features.py	rewrite_adapter	Split into CLI-independent feature assembly and embedding loading.
/home/jiehuang/software/fungi/EPGAT/models/gat/gat_pytorch.py	original EPGAT model core	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_original_gat.py	direct_migrate_keep_behavior	Port with minimal logic changes.
/home/jiehuang/software/fungi/EPGAT/models/gat/params.py	organism-specific GAT defaults	/home/jiehuang/software/fungi/ProGATE_v2/configs/epgat_legacy.yaml	rewrite_adapter	Promote hard-coded params into config.
/home/jiehuang/software/fungi/EPGAT/runners/run_gat.py	legacy/original GAT runner	/home/jiehuang/software/fungi/ProGATE_v2/src/train/train_epgat_legacy.py	rewrite_adapter	Keep logic but remove runner-specific output side effects.
/home/jiehuang/software/fungi/EPGAT/runners/run_gat_string.py	older alternate GAT runner	/home/jiehuang/software/fungi/ProGATE_v2/docs/epgat_migration/08_minimal_refactor_targets.md	reference_only	Treat as legacy residue unless a missing behavior is discovered.
/home/jiehuang/software/fungi/EPGAT/models/gcn/gcn_pytorch.py	GCN model	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_gcn.py	direct_migrate_keep_behavior	Migrate only if legacy GCN replay is required.
/home/jiehuang/software/fungi/EPGAT/runners/run_gcn.py	GCN runner	/home/jiehuang/software/fungi/ProGATE_v2/src/train/train_epgat_extended.py	rewrite_adapter	Implement as config-selected model family.
/home/jiehuang/software/fungi/EPGAT/models/gin/gin_pytorch.py	GIN model	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_gin.py	direct_migrate_keep_behavior	Migrate only active implementation.
/home/jiehuang/software/fungi/EPGAT/runners/run_gin.py	GIN runner	/home/jiehuang/software/fungi/ProGATE_v2/src/train/train_epgat_extended.py	rewrite_adapter	Convert to config-selected model family.
/home/jiehuang/software/fungi/EPGAT/models/graphsage/graphsage_adapter.py	GraphSAGE adapter model	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_graphsage.py	direct_migrate_keep_behavior	Useful for legacy replay and comparison.
/home/jiehuang/software/fungi/EPGAT/runners/run_sage.py	GraphSAGE runner	/home/jiehuang/software/fungi/ProGATE_v2/src/train/train_epgat_extended.py	rewrite_adapter	Output and visualization logic should be separated.
/home/jiehuang/software/fungi/EPGAT/runners/run_mlp.py	classical baseline runner	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Unify with baseline training framework.
/home/jiehuang/software/fungi/EPGAT/runners/run_rf.py	classical baseline runner	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Use ProGATE_v2 baseline fit/eval protocol.
/home/jiehuang/software/fungi/EPGAT/runners/run_svm.py	classical baseline runner	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Use ProGATE_v2 baseline fit/eval protocol.
/home/jiehuang/software/fungi/EPGAT/runners/run_n2v_mlp.py	node2vec+MLP baseline	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Keep only if this baseline is still needed.
/home/jiehuang/software/fungi/EPGAT/runners/run_bayes.py	naive bayes baseline	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Unify with baseline protocol.
/home/jiehuang/software/fungi/EPGAT/runners/run_cc.py	network heuristic baseline	/home/jiehuang/software/fungi/ProGATE_v2/src/models/epgat_baselines.py	rewrite_adapter	Preserve only if legacy comparison required.
